Date/Hour (PST),Year,Month,Day,Hour Beginning,Hour Ending,SDGE Hourly Load,SDGE Hourly PV Generation
1/2/2017 22:00,2017,1,2,22,23," 2,498 ",0.00
1/2/2017 23:00,2017,1,2,23,24," 2,208 ",0.00
1/3/2017 0:00,2017,1,3,0,1," 2,014 ",0.00
1/3/2017 1:00,2017,1,3,1,2," 1,932 ",0.00
1/3/2017 2:00,2017,1,3,2,3," 1,878 ",0.00
1/3/2017 3:00,2017,1,3,3,4," 1,875 ",0.00
1/3/2017 4:00,2017,1,3,4,5," 1,957 ",0.00
1/3/2017 5:00,2017,1,3,5,6," 2,150 ",0.00
1/3/2017 6:00,2017,1,3,6,7," 2,520 ",0.00
1/3/2017 7:00,2017,1,3,7,8," 2,677 ",43.74
1/3/2017 8:00,2017,1,3,8,9," 2,724 ",201.32
1/3/2017 9:00,2017,1,3,9,10," 2,726 ",334.03
1/3/2017 10:00,2017,1,3,10,11," 2,724 ",423.45
1/3/2017 11:00,2017,1,3,11,12," 2,701 ",468.00
1/3/2017 12:00,2017,1,3,12,13," 2,672 ",470.19
1/3/2017 13:00,2017,1,3,13,14," 2,642 ",422.43
1/3/2017 14:00,2017,1,3,14,15," 2,600 ",327.87
1/3/2017 15:00,2017,1,3,15,16," 2,575 ",182.61
1/3/2017 16:00,2017,1,3,16,17," 2,663 ",23.37
1/3/2017 17:00,2017,1,3,17,18," 3,036 ",0.00
1/3/2017 18:00,2017,1,3,18,19," 3,112 ",0.00
1/3/2017 19:00,2017,1,3,19,20," 3,060 ",0.00
1/3/2017 20:00,2017,1,3,20,21," 2,956 ",0.00
1/3/2017 21:00,2017,1,3,21,22," 2,755 ",0.00
1/3/2017 22:00,2017,1,3,22,23," 2,476 ",0.00
1/3/2017 23:00,2017,1,3,23,24," 2,188 ",0.00
1/4/2017 0:00,2017,1,4,0,1," 2,003 ",0.00
1/4/2017 1:00,2017,1,4,1,2," 1,919 ",0.00
1/4/2017 2:00,2017,1,4,2,3," 1,872 ",0.00
1/4/2017 3:00,2017,1,4,3,4," 1,867 ",0.00
1/4/2017 4:00,2017,1,4,4,5," 1,949 ",0.00
1/4/2017 5:00,2017,1,4,5,6," 2,146 ",0.00
1/4/2017 6:00,2017,1,4,6,7," 2,511 ",0.00
1/4/2017 7:00,2017,1,4,7,8," 2,658 ",43.74
1/4/2017 8:00,2017,1,4,8,9," 2,695 ",201.32
1/4/2017 9:00,2017,1,4,9,10," 2,703 ",334.03
1/4/2017 10:00,2017,1,4,10,11," 2,718 ",423.45
1/4/2017 11:00,2017,1,4,11,12," 2,709 ",468.00
1/4/2017 12:00,2017,1,4,12,13," 2,694 ",470.19
1/4/2017 13:00,2017,1,4,13,14," 2,677 ",422.43
1/4/2017 14:00,2017,1,4,14,15," 2,632 ",327.87
1/4/2017 15:00,2017,1,4,15,16," 2,601 ",182.61
1/4/2017 16:00,2017,1,4,16,17," 2,654 ",23.37
1/4/2017 17:00,2017,1,4,17,18," 3,004 ",0.00
1/4/2017 18:00,2017,1,4,18,19," 3,069 ",0.00
1/4/2017 19:00,2017,1,4,19,20," 2,996 ",0.00
1/4/2017 20:00,2017,1,4,20,21," 2,896 ",0.00
1/4/2017 21:00,2017,1,4,21,22," 2,685 ",0.00
1/4/2017 22:00,2017,1,4,22,23," 2,414 ",0.00
1/4/2017 23:00,2017,1,4,23,24," 2,128 ",0.00
1/5/2017 0:00,2017,1,5,0,1," 1,960 ",0.00
1/5/2017 1:00,2017,1,5,1,2," 1,869 ",0.00
1/5/2017 2:00,2017,1,5,2,3," 1,832 ",0.00
1/5/2017 3:00,2017,1,5,3,4," 1,829 ",0.00
1/5/2017 4:00,2017,1,5,4,5," 1,892 ",0.00
1/5/2017 5:00,2017,1,5,5,6," 2,088 ",0.00
1/5/2017 6:00,2017,1,5,6,7," 2,454 ",0.00
1/5/2017 7:00,2017,1,5,7,8," 2,596 ",43.74
1/5/2017 8:00,2017,1,5,8,9," 2,639 ",201.32
1/5/2017 9:00,2017,1,5,9,10," 2,669 ",334.03
1/5/2017 10:00,2017,1,5,10,11," 2,693 ",423.45
1/5/2017 11:00,2017,1,5,11,12," 2,691 ",468.00
1/5/2017 12:00,2017,1,5,12,13," 2,670 ",470.19
1/5/2017 13:00,2017,1,5,13,14," 2,652 ",422.43
1/5/2017 14:00,2017,1,5,14,15," 2,616 ",327.87
1/5/2017 15:00,2017,1,5,15,16," 2,601 ",182.61
1/5/2017 16:00,2017,1,5,16,17," 2,690 ",23.37
1/5/2017 17:00,2017,1,5,17,18," 3,030 ",0.00
1/5/2017 18:00,2017,1,5,18,19," 3,073 ",0.00
1/5/2017 19:00,2017,1,5,19,20," 3,005 ",0.00
1/5/2017 20:00,2017,1,5,20,21," 2,898 ",0.00
1/5/2017 21:00,2017,1,5,21,22," 2,687 ",0.00
1/5/2017 22:00,2017,1,5,22,23," 2,403 ",0.00
1/5/2017 23:00,2017,1,5,23,24," 2,113 ",0.00
1/6/2017 0:00,2017,1,6,0,1," 1,947 ",0.00
1/6/2017 1:00,2017,1,6,1,2," 1,845 ",0.00
1/6/2017 2:00,2017,1,6,2,3," 1,797 ",0.00
1/6/2017 3:00,2017,1,6,3,4," 1,785 ",0.00
1/6/2017 4:00,2017,1,6,4,5," 1,839 ",0.00
1/6/2017 5:00,2017,1,6,5,6," 2,014 ",0.00
1/6/2017 6:00,2017,1,6,6,7," 2,358 ",0.00
1/6/2017 7:00,2017,1,6,7,8," 2,542 ",43.74
1/6/2017 8:00,2017,1,6,8,9," 2,622 ",201.32
1/6/2017 9:00,2017,1,6,9,10," 2,644 ",334.03
1/6/2017 10:00,2017,1,6,10,11," 2,659 ",423.45
1/6/2017 11:00,2017,1,6,11,12," 2,663 ",468.00
1/6/2017 12:00,2017,1,6,12,13," 2,670 ",470.19
1/6/2017 13:00,2017,1,6,13,14," 2,646 ",422.43
1/6/2017 14:00,2017,1,6,14,15," 2,609 ",327.87
1/6/2017 15:00,2017,1,6,15,16," 2,563 ",182.61
1/6/2017 16:00,2017,1,6,16,17," 2,601 ",23.37
1/6/2017 17:00,2017,1,6,17,18," 2,911 ",0.00
1/6/2017 18:00,2017,1,6,18,19," 2,951 ",0.00
1/6/2017 19:00,2017,1,6,19,20," 2,867 ",0.00
1/6/2017 20:00,2017,1,6,20,21," 2,766 ",0.00
1/6/2017 21:00,2017,1,6,21,22," 2,620 ",0.00
1/6/2017 22:00,2017,1,6,22,23," 2,415 ",0.00
1/6/2017 23:00,2017,1,6,23,24," 2,161 ",0.00
1/7/2017 0:00,2017,1,7,0,1," 1,994 ",0.00
1/7/2017 1:00,2017,1,7,1,2," 1,895 ",0.00
1/7/2017 2:00,2017,1,7,2,3," 1,836 ",0.00
1/7/2017 3:00,2017,1,7,3,4," 1,818 ",0.00
1/7/2017 4:00,2017,1,7,4,5," 1,836 ",0.00
1/7/2017 5:00,2017,1,7,5,6," 1,927 ",0.00
1/7/2017 6:00,2017,1,7,6,7," 2,039 ",0.00
1/7/2017 7:00,2017,1,7,7,8," 2,139 ",43.74
1/7/2017 8:00,2017,1,7,8,9," 2,267 ",201.32
1/7/2017 9:00,2017,1,7,9,10," 2,367 ",334.03
1/7/2017 10:00,2017,1,7,10,11," 2,417 ",423.45
1/7/2017 11:00,2017,1,7,11,12," 2,428 ",468.00
1/7/2017 12:00,2017,1,7,12,13," 2,423 ",470.19
1/7/2017 13:00,2017,1,7,13,14," 2,395 ",422.43
1/7/2017 14:00,2017,1,7,14,15," 2,343 ",327.87
1/7/2017 15:00,2017,1,7,15,16," 2,323 ",182.61
1/7/2017 16:00,2017,1,7,16,17," 2,395 ",23.37
1/7/2017 17:00,2017,1,7,17,18," 2,725 ",0.00
1/7/2017 18:00,2017,1,7,18,19," 2,808 ",0.00
1/7/2017 19:00,2017,1,7,19,20," 2,740 ",0.00
1/7/2017 20:00,2017,1,7,20,21," 2,648 ",0.00
1/7/2017 21:00,2017,1,7,21,22," 2,501 ",0.00
1/7/2017 22:00,2017,1,7,22,23," 2,282 ",0.00
1/7/2017 23:00,2017,1,7,23,24," 2,080 ",0.00
1/8/2017 0:00,2017,1,8,0,1," 1,928 ",0.00
1/8/2017 1:00,2017,1,8,1,2," 1,830 ",0.00
1/8/2017 2:00,2017,1,8,2,3," 1,778 ",0.00
1/8/2017 3:00,2017,1,8,3,4," 1,756 ",0.00
1/8/2017 4:00,2017,1,8,4,5," 1,771 ",0.00
1/8/2017 5:00,2017,1,8,5,6," 1,832 ",0.00
1/8/2017 6:00,2017,1,8,6,7," 1,938 ",0.00
1/8/2017 7:00,2017,1,8,7,8," 2,002 ",44.72
1/8/2017 8:00,2017,1,8,8,9," 2,130 ",201.38
1/8/2017 9:00,2017,1,8,9,10," 2,226 ",336.97
1/8/2017 10:00,2017,1,8,10,11," 2,293 ",416.83
1/8/2017 11:00,2017,1,8,11,12," 2,352 ",455.54
1/8/2017 12:00,2017,1,8,12,13," 2,372 ",471.63
1/8/2017 13:00,2017,1,8,13,14," 2,359 ",431.85
1/8/2017 14:00,2017,1,8,14,15," 2,322 ",344.86
1/8/2017 15:00,2017,1,8,15,16," 2,308 ",202.96
1/8/2017 16:00,2017,1,8,16,17," 2,358 ",53.20
1/8/2017 17:00,2017,1,8,17,18," 2,701 ",0.00
1/8/2017 18:00,2017,1,8,18,19," 2,811 ",0.00
1/8/2017 19:00,2017,1,8,19,20," 2,752 ",0.00
1/8/2017 20:00,2017,1,8,20,21," 2,638 ",0.00
1/8/2017 21:00,2017,1,8,21,22," 2,461 ",0.00
1/8/2017 22:00,2017,1,8,22,23," 2,217 ",0.00
1/8/2017 23:00,2017,1,8,23,24," 1,989 ",0.00
1/9/2017 0:00,2017,1,9,0,1," 1,842 ",0.00
1/9/2017 1:00,2017,1,9,1,2," 1,772 ",0.00
1/9/2017 2:00,2017,1,9,2,3," 1,726 ",0.00
1/9/2017 3:00,2017,1,9,3,4," 1,727 ",0.00
1/9/2017 4:00,2017,1,9,4,5," 1,793 ",0.00
1/9/2017 5:00,2017,1,9,5,6," 1,993 ",0.00
1/9/2017 6:00,2017,1,9,6,7," 2,321 ",0.00
1/9/2017 7:00,2017,1,9,7,8," 2,483 ",44.72
1/9/2017 8:00,2017,1,9,8,9," 2,566 ",201.38
1/9/2017 9:00,2017,1,9,9,10," 2,652 ",336.97
1/9/2017 10:00,2017,1,9,10,11," 2,741 ",416.83
1/9/2017 11:00,2017,1,9,11,12," 2,805 ",455.54
1/9/2017 12:00,2017,1,9,12,13," 2,843 ",471.63
1/9/2017 13:00,2017,1,9,13,14," 2,869 ",431.85
1/9/2017 14:00,2017,1,9,14,15," 2,857 ",344.86
1/9/2017 15:00,2017,1,9,15,16," 2,813 ",202.96
1/9/2017 16:00,2017,1,9,16,17," 2,803 ",53.20
1/9/2017 17:00,2017,1,9,17,18," 3,029 ",0.00
1/9/2017 18:00,2017,1,9,18,19," 3,077 ",0.00
1/9/2017 19:00,2017,1,9,19,20," 2,960 ",0.00
1/9/2017 20:00,2017,1,9,20,21," 2,856 ",0.00
1/9/2017 21:00,2017,1,9,21,22," 2,633 ",0.00
1/9/2017 22:00,2017,1,9,22,23," 2,358 ",0.00
1/9/2017 23:00,2017,1,9,23,24," 2,094 ",0.00
1/10/2017 0:00,2017,1,10,0,1," 1,943 ",0.00
1/10/2017 1:00,2017,1,10,1,2," 1,842 ",0.00
1/10/2017 2:00,2017,1,10,2,3," 1,801 ",0.00
1/10/2017 3:00,2017,1,10,3,4," 1,792 ",0.00
1/10/2017 4:00,2017,1,10,4,5," 1,836 ",0.00
1/10/2017 5:00,2017,1,10,5,6," 2,008 ",0.00
1/10/2017 6:00,2017,1,10,6,7," 2,327 ",0.00
1/10/2017 7:00,2017,1,10,7,8," 2,486 ",44.72
1/10/2017 8:00,2017,1,10,8,9," 2,574 ",201.38
1/10/2017 9:00,2017,1,10,9,10," 2,666 ",336.97
1/10/2017 10:00,2017,1,10,10,11," 2,763 ",416.83
1/10/2017 11:00,2017,1,10,11,12," 2,823 ",455.54
1/10/2017 12:00,2017,1,10,12,13," 2,854 ",471.63
1/10/2017 13:00,2017,1,10,13,14," 2,877 ",431.85
1/10/2017 14:00,2017,1,10,14,15," 2,862 ",344.86
1/10/2017 15:00,2017,1,10,15,16," 2,825 ",202.96
1/10/2017 16:00,2017,1,10,16,17," 2,808 ",53.20
1/10/2017 17:00,2017,1,10,17,18," 3,017 ",0.00
1/10/2017 18:00,2017,1,10,18,19," 3,053 ",0.00
1/10/2017 19:00,2017,1,10,19,20," 2,951 ",0.00
1/10/2017 20:00,2017,1,10,20,21," 2,825 ",0.00
1/10/2017 21:00,2017,1,10,21,22," 2,611 ",0.00
1/10/2017 22:00,2017,1,10,22,23," 2,297 ",0.00
1/10/2017 23:00,2017,1,10,23,24," 2,033 ",0.00
1/11/2017 0:00,2017,1,11,0,1," 1,878 ",0.00
1/11/2017 1:00,2017,1,11,1,2," 1,791 ",0.00
1/11/2017 2:00,2017,1,11,2,3," 1,740 ",0.00
1/11/2017 3:00,2017,1,11,3,4," 1,733 ",0.00
1/11/2017 4:00,2017,1,11,4,5," 1,793 ",0.00
1/11/2017 5:00,2017,1,11,5,6," 1,975 ",0.00
1/11/2017 6:00,2017,1,11,6,7," 2,301 ",0.00
1/11/2017 7:00,2017,1,11,7,8," 2,473 ",44.72
1/11/2017 8:00,2017,1,11,8,9," 2,543 ",201.38
1/11/2017 9:00,2017,1,11,9,10," 2,618 ",336.97
1/11/2017 10:00,2017,1,11,10,11," 2,701 ",416.83
1/11/2017 11:00,2017,1,11,11,12," 2,762 ",455.54
1/11/2017 12:00,2017,1,11,12,13," 2,790 ",471.63
1/11/2017 13:00,2017,1,11,13,14," 2,790 ",431.85
1/11/2017 14:00,2017,1,11,14,15," 2,765 ",344.86
1/11/2017 15:00,2017,1,11,15,16," 2,723 ",202.96
1/11/2017 16:00,2017,1,11,16,17," 2,726 ",53.20
1/11/2017 17:00,2017,1,11,17,18," 2,964 ",0.00
1/11/2017 18:00,2017,1,11,18,19," 3,005 ",0.00
1/11/2017 19:00,2017,1,11,19,20," 2,918 ",0.00
1/11/2017 20:00,2017,1,11,20,21," 2,794 ",0.00
1/11/2017 21:00,2017,1,11,21,22," 2,592 ",0.00
1/11/2017 22:00,2017,1,11,22,23," 2,302 ",0.00
1/11/2017 23:00,2017,1,11,23,24," 2,053 ",0.00
1/12/2017 0:00,2017,1,12,0,1," 1,881 ",0.00
1/12/2017 1:00,2017,1,12,1,2," 1,795 ",0.00
1/12/2017 2:00,2017,1,12,2,3," 1,752 ",0.00
1/12/2017 3:00,2017,1,12,3,4," 1,745 ",0.00
1/12/2017 4:00,2017,1,12,4,5," 1,801 ",0.00
1/12/2017 5:00,2017,1,12,5,6," 1,987 ",0.00
1/12/2017 6:00,2017,1,12,6,7," 2,321 ",0.00
1/12/2017 7:00,2017,1,12,7,8," 2,485 ",44.72
1/12/2017 8:00,2017,1,12,8,9," 2,553 ",201.38
1/12/2017 9:00,2017,1,12,9,10," 2,622 ",336.97
1/12/2017 10:00,2017,1,12,10,11," 2,699 ",416.83
1/12/2017 11:00,2017,1,12,11,12," 2,736 ",455.54
1/12/2017 12:00,2017,1,12,12,13," 2,759 ",471.63
1/12/2017 13:00,2017,1,12,13,14," 2,776 ",431.85
1/12/2017 14:00,2017,1,12,14,15," 2,749 ",344.86
1/12/2017 15:00,2017,1,12,15,16," 2,701 ",202.96
1/12/2017 16:00,2017,1,12,16,17," 2,692 ",53.20
1/12/2017 17:00,2017,1,12,17,18," 2,926 ",0.00
1/12/2017 18:00,2017,1,12,18,19," 2,985 ",0.00
1/12/2017 19:00,2017,1,12,19,20," 2,904 ",0.00
1/12/2017 20:00,2017,1,12,20,21," 2,798 ",0.00
1/12/2017 21:00,2017,1,12,21,22," 2,589 ",0.00
1/12/2017 22:00,2017,1,12,22,23," 2,303 ",0.00
1/12/2017 23:00,2017,1,12,23,24," 2,050 ",0.00
1/13/2017 0:00,2017,1,13,0,1," 1,902 ",0.00
1/13/2017 1:00,2017,1,13,1,2," 1,810 ",0.00
1/13/2017 2:00,2017,1,13,2,3," 1,776 ",0.00
1/13/2017 3:00,2017,1,13,3,4," 1,770 ",0.00
1/13/2017 4:00,2017,1,13,4,5," 1,824 ",0.00
1/13/2017 5:00,2017,1,13,5,6," 1,999 ",0.00
1/13/2017 6:00,2017,1,13,6,7," 2,325 ",0.00
1/13/2017 7:00,2017,1,13,7,8," 2,486 ",44.72
1/13/2017 8:00,2017,1,13,8,9," 2,563 ",201.38
1/13/2017 9:00,2017,1,13,9,10," 2,637 ",336.97
1/13/2017 10:00,2017,1,13,10,11," 2,699 ",416.83
1/13/2017 11:00,2017,1,13,11,12," 2,728 ",455.54
1/13/2017 12:00,2017,1,13,12,13," 2,735 ",471.63
1/13/2017 13:00,2017,1,13,13,14," 2,742 ",431.85
1/13/2017 14:00,2017,1,13,14,15," 2,721 ",344.86
1/13/2017 15:00,2017,1,13,15,16," 2,670 ",202.96
1/13/2017 16:00,2017,1,13,16,17," 2,644 ",53.20
1/13/2017 17:00,2017,1,13,17,18," 2,877 ",0.00
1/13/2017 18:00,2017,1,13,18,19," 2,909 ",0.00
1/13/2017 19:00,2017,1,13,19,20," 2,810 ",0.00
1/13/2017 20:00,2017,1,13,20,21," 2,696 ",0.00
1/13/2017 21:00,2017,1,13,21,22," 2,532 ",0.00
1/13/2017 22:00,2017,1,13,22,23," 2,312 ",0.00
1/13/2017 23:00,2017,1,13,23,24," 2,084 ",0.00
1/14/2017 0:00,2017,1,14,0,1," 1,924 ",0.00
1/14/2017 1:00,2017,1,14,1,2," 1,813 ",0.00
1/14/2017 2:00,2017,1,14,2,3," 1,770 ",0.00
1/14/2017 3:00,2017,1,14,3,4," 1,745 ",0.00
1/14/2017 4:00,2017,1,14,4,5," 1,769 ",0.00
1/14/2017 5:00,2017,1,14,5,6," 1,834 ",0.00
1/14/2017 6:00,2017,1,14,6,7," 1,967 ",0.00
1/14/2017 7:00,2017,1,14,7,8," 2,049 ",44.72
1/14/2017 8:00,2017,1,14,8,9," 2,204 ",201.38
1/14/2017 9:00,2017,1,14,9,10," 2,310 ",336.97
1/14/2017 10:00,2017,1,14,10,11," 2,396 ",416.83
1/14/2017 11:00,2017,1,14,11,12," 2,423 ",455.54
1/14/2017 12:00,2017,1,14,12,13," 2,418 ",471.63
1/14/2017 13:00,2017,1,14,13,14," 2,388 ",431.85
1/14/2017 14:00,2017,1,14,14,15," 2,346 ",344.86
1/14/2017 15:00,2017,1,14,15,16," 2,327 ",202.96
1/14/2017 16:00,2017,1,14,16,17," 2,376 ",53.20
1/14/2017 17:00,2017,1,14,17,18," 2,654 ",0.00
1/14/2017 18:00,2017,1,14,18,19," 2,750 ",0.00
1/14/2017 19:00,2017,1,14,19,20," 2,674 ",0.00
1/14/2017 20:00,2017,1,14,20,21," 2,573 ",0.00
1/14/2017 21:00,2017,1,14,21,22," 2,428 ",0.00
1/14/2017 22:00,2017,1,14,22,23," 2,227 ",0.00
1/14/2017 23:00,2017,1,14,23,24," 2,021 ",0.00
1/15/2017 0:00,2017,1,15,0,1," 1,868 ",0.00
1/15/2017 1:00,2017,1,15,1,2," 1,780 ",0.00
1/15/2017 2:00,2017,1,15,2,3," 1,723 ",0.00
1/15/2017 3:00,2017,1,15,3,4," 1,698 ",0.00
1/15/2017 4:00,2017,1,15,4,5," 1,713 ",0.00
1/15/2017 5:00,2017,1,15,5,6," 1,776 ",0.00
1/15/2017 6:00,2017,1,15,6,7," 1,858 ",0.00
1/15/2017 7:00,2017,1,15,7,8," 1,931 ",41.68
1/15/2017 8:00,2017,1,15,8,9," 2,063 ",176.57
1/15/2017 9:00,2017,1,15,9,10," 2,171 ",289.02
1/15/2017 10:00,2017,1,15,10,11," 2,253 ",351.35
1/15/2017 11:00,2017,1,15,11,12," 2,305 ",390.49
1/15/2017 12:00,2017,1,15,12,13," 2,343 ",393.68
1/15/2017 13:00,2017,1,15,13,14," 2,347 ",354.85
1/15/2017 14:00,2017,1,15,14,15," 2,337 ",278.67
1/15/2017 15:00,2017,1,15,15,16," 2,312 ",178.92
1/15/2017 16:00,2017,1,15,16,17," 2,386 ",65.98
1/15/2017 17:00,2017,1,15,17,18," 2,685 ",0.00
1/15/2017 18:00,2017,1,15,18,19," 2,774 ",0.00
1/15/2017 19:00,2017,1,15,19,20," 2,690 ",0.00
1/15/2017 20:00,2017,1,15,20,21," 2,585 ",0.00
1/15/2017 21:00,2017,1,15,21,22," 2,416 ",0.00
1/15/2017 22:00,2017,1,15,22,23," 2,181 ",0.00
1/15/2017 23:00,2017,1,15,23,24," 1,974 ",0.00
1/16/2017 0:00,2017,1,16,0,1," 1,825 ",0.00
1/16/2017 1:00,2017,1,16,1,2," 1,737 ",0.00
1/16/2017 2:00,2017,1,16,2,3," 1,689 ",0.00
1/16/2017 3:00,2017,1,16,3,4," 1,675 ",0.00
1/16/2017 4:00,2017,1,16,4,5," 1,729 ",0.00
1/16/2017 5:00,2017,1,16,5,6," 1,853 ",0.00
1/16/2017 6:00,2017,1,16,6,7," 2,063 ",0.00
1/16/2017 7:00,2017,1,16,7,8," 2,225 ",41.68
1/16/2017 8:00,2017,1,16,8,9," 2,403 ",176.57
1/16/2017 9:00,2017,1,16,9,10," 2,534 ",289.02
1/16/2017 10:00,2017,1,16,10,11," 2,650 ",351.35
1/16/2017 11:00,2017,1,16,11,12," 2,704 ",390.49
1/16/2017 12:00,2017,1,16,12,13," 2,716 ",393.68
1/16/2017 13:00,2017,1,16,13,14," 2,710 ",354.85
1/16/2017 14:00,2017,1,16,14,15," 2,682 ",278.67
1/16/2017 15:00,2017,1,16,15,16," 2,642 ",178.92
1/16/2017 16:00,2017,1,16,16,17," 2,658 ",65.98
1/16/2017 17:00,2017,1,16,17,18," 2,915 ",0.00
1/16/2017 18:00,2017,1,16,18,19," 2,983 ",0.00
1/16/2017 19:00,2017,1,16,19,20," 2,901 ",0.00
1/16/2017 20:00,2017,1,16,20,21," 2,766 ",0.00
1/16/2017 21:00,2017,1,16,21,22," 2,543 ",0.00
1/16/2017 22:00,2017,1,16,22,23," 2,258 ",0.00
1/16/2017 23:00,2017,1,16,23,24," 2,002 ",0.00
1/17/2017 0:00,2017,1,17,0,1," 1,845 ",0.00
1/17/2017 1:00,2017,1,17,1,2," 1,763 ",0.00
1/17/2017 2:00,2017,1,17,2,3," 1,710 ",0.00
1/17/2017 3:00,2017,1,17,3,4," 1,702 ",0.00
1/17/2017 4:00,2017,1,17,4,5," 1,760 ",0.00
1/17/2017 5:00,2017,1,17,5,6," 1,935 ",0.00
1/17/2017 6:00,2017,1,17,6,7," 2,250 ",0.00
1/17/2017 7:00,2017,1,17,7,8," 2,434 ",41.68
1/17/2017 8:00,2017,1,17,8,9," 2,527 ",176.57
1/17/2017 9:00,2017,1,17,9,10," 2,594 ",289.02
1/17/2017 10:00,2017,1,17,10,11," 2,698 ",351.35
1/17/2017 11:00,2017,1,17,11,12," 2,735 ",390.49
1/17/2017 12:00,2017,1,17,12,13," 2,768 ",393.68
1/17/2017 13:00,2017,1,17,13,14," 2,770 ",354.85
1/17/2017 14:00,2017,1,17,14,15," 2,730 ",278.67
1/17/2017 15:00,2017,1,17,15,16," 2,680 ",178.92
1/17/2017 16:00,2017,1,17,16,17," 2,710 ",65.98
1/17/2017 17:00,2017,1,17,17,18," 2,972 ",0.00
1/17/2017 18:00,2017,1,17,18,19," 3,012 ",0.00
1/17/2017 19:00,2017,1,17,19,20," 2,935 ",0.00
1/17/2017 20:00,2017,1,17,20,21," 2,808 ",0.00
1/17/2017 21:00,2017,1,17,21,22," 2,579 ",0.00
1/17/2017 22:00,2017,1,17,22,23," 2,275 ",0.00
1/17/2017 23:00,2017,1,17,23,24," 2,019 ",0.00
1/18/2017 0:00,2017,1,18,0,1," 1,855 ",0.00
1/18/2017 1:00,2017,1,18,1,2," 1,775 ",0.00
1/18/2017 2:00,2017,1,18,2,3," 1,726 ",0.00
1/18/2017 3:00,2017,1,18,3,4," 1,710 ",0.00
1/18/2017 4:00,2017,1,18,4,5," 1,766 ",0.00
1/18/2017 5:00,2017,1,18,5,6," 1,931 ",0.00
1/18/2017 6:00,2017,1,18,6,7," 2,242 ",0.00
1/18/2017 7:00,2017,1,18,7,8," 2,398 ",41.68
1/18/2017 8:00,2017,1,18,8,9," 2,510 ",176.57
1/18/2017 9:00,2017,1,18,9,10," 2,613 ",289.02
1/18/2017 10:00,2017,1,18,10,11," 2,680 ",351.35
1/18/2017 11:00,2017,1,18,11,12," 2,703 ",390.49
